2025-05-01 20:27:30,681 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:27:38,451 INFO {'route': 'FILE_UPLOAD', 'event': 'SUCCESSFUL_UPLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File uploaded successfully', 'extra_data': {'filename': 'Saab__Työsopimus.pdf'}}
2025-05-01 20:27:38,705 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:27:48,040 INFO {'route': 'MFA_SETUP', 'event': 'QR_CODE_GENERATED', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'QR code generated for MFA setup', 'extra_data': None}
2025-05-01 20:27:51,093 INFO {'route': 'LOGOUT', 'event': 'USER_LOGOUT', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'User logged out', 'extra_data': None}
2025-05-01 20:29:06,889 INFO {'route': 'REGISTER', 'event': 'SUCCESSFUL_REGISTRATION', 'user_id': UUID('a6733e32-34a2-4310-9af8-43fb5d1c5df4'), 'message': 'User registered successfully', 'extra_data': None}
2025-05-01 20:29:17,491 INFO {'route': 'LOGIN', 'event': 'FAILED_LOGIN', 'user_id': 'Tuukka', 'message': 'Invalid credentials', 'extra_data': {'reason': 'Incorrect username or password'}}
2025-05-01 20:29:24,184 INFO {'route': 'LOGIN', 'event': 'SUCCESSFUL_LOGIN', 'user_id': UUID('a6733e32-34a2-4310-9af8-43fb5d1c5df4'), 'message': 'User successfully logged in', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:29:49,010 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:29:49,273 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:29:59,261 INFO {'route': 'FILE_UPLOAD', 'event': 'SUCCESSFUL_UPLOAD', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'File uploaded successfully', 'extra_data': {'filename': 'Ryhmä_4_tietokanta (1).pdf'}}
2025-05-01 20:29:59,809 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:31:50,273 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:31:50,538 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:31:50,586 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:31:50,591 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:31:59,638 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:31:59,902 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:31:59,948 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:31:59,952 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:32:30,616 INFO {'route': 'MFA_SETUP', 'event': 'QR_CODE_GENERATED', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'QR code generated for MFA setup', 'extra_data': None}
2025-05-01 20:32:34,717 INFO {'route': 'MFA_SETUP_VERIFY', 'event': 'INVALID_TOTP_CODE', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Invalid TOTP code', 'extra_data': None}
2025-05-01 20:32:48,812 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:32:49,074 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:32:53,710 INFO {'route': 'FILE_DELETE', 'event': 'SUCCESSFUL_DELETE', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'File deleted successfully', 'extra_data': {'file_id': '863ab0fa-ddf9-4ba4-bfb3-036eb07eed62'}}
2025-05-01 20:32:53,968 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'a6733e32-34a2-4310-9af8-43fb5d1c5df4', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:44:56,992 INFO {'route': 'GITHUB_CALLBACK', 'event': 'SUCCESSFUL_LOGIN', 'user_id': UUID('e4c024de-f68b-421e-a9d2-04872bb8e61b'), 'message': 'User successfully logged in', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:44:58,300 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:44:58,565 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:44:59,491 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:45:00,099 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:45:04,116 INFO {'route': 'FILE_UPLOAD', 'event': 'SUCCESSFUL_UPLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File uploaded successfully', 'extra_data': {'filename': 'Ryhmä_4_tietokanta.pdf'}}
2025-05-01 20:45:04,438 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:45:08,310 INFO {'route': 'FILE_UPLOAD', 'event': 'SUCCESSFUL_UPLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File uploaded successfully', 'extra_data': {'filename': '2025_IoT_DataPrivacy.docx'}}
2025-05-01 20:45:08,635 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:45:19,636 INFO {'route': 'FILE_DOWNLOAD', 'event': 'SUCCESSFUL_DOWNLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File downloaded successfully', 'extra_data': {'filename': '2025_IoT_DataPrivacy.docx'}}
2025-05-01 20:46:13,331 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
